business_id,name,address,postal_code,latitude,longitude,review_count,is_open,attributes,categories,hours,loc
0DnQh8SE8BSnvJltGCCiWg,Chick-N-Joy,3-1265 York Mills Road,M3A 1Z3,43.765279,-79.326248,9,1,"{'OutdoorSeating': 'False', 'RestaurantsPriceRange2': '2', 'RestaurantsTakeOut': 'True', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'WiFi': ""'no'"", 'Caters': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsTableService': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Alcohol': ""'none'"", 'RestaurantsReservations': 'False', 'RestaurantsAttire': ""u'casual'"", 'DriveThru': 'False', 'BikeParking': 'True', 'NoiseLevel': ""'loud'"", 'RestaurantsDelivery': 'True'}","Restaurants, Chicken Shop, Fast Food",,"{'type': 'Point', 'coordinates': [-79.326248, 43.765279]}"
h6NYKqweTmcBz3z6UeUJ8w,Rosedale Radiology and Ultrasound,600 Sherbourne Street,M4X 1W4,43.6716822,-79.3768696,6,1,,"Diagnostic Imaging, Diagnostic Services, Doctors, Health & Medical",,"{'type': 'Point', 'coordinates': [-79.3768696, 43.6716822]}"
AycqWXrDVlbRfJE-kA5MMw,Savour Toronto,,,43.653226,-79.3831843,8,1,{'RestaurantsPriceRange2': '3'},"Party & Event Planning, Hotels & Travel, Local Flavor, Specialty Food, Tours, Food, Event Planning & Services",,"{'type': 'Point', 'coordinates': [-79.3831843, 43.653226]}"
EVC1vn1KQ2uETnTbDWXc5w,Cadillac Jenkins,930 Queen Street W,M6J 1G6,43.6450416,-79.4161208,13,0,"{'RestaurantsReservations': 'False', 'GoodForKids': 'False', 'RestaurantsGoodForGroups': 'True', 'Alcohol': ""u'full_bar'"", 'RestaurantsAttire': ""'casual'""}","Caribbean, Tapas/Small Plates, Restaurants","{'Tuesday': '17:0-2:0', 'Wednesday': '17:0-2:0', 'Thursday': '17:0-2:0', 'Friday': '17:0-2:0', 'Saturday': '17:0-2:0', 'Sunday': '17:0-2:0'}","{'type': 'Point', 'coordinates': [-79.4161208, 43.6450416]}"
fdTDe7XIXfhftmgNfR_-3g,Laura Secord,"Toronto Eaton Centre, 220 Yonge Street",M5B 2H1,43.6540667,-79.3800815,3,0,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '3'}","Specialty Food, Chocolatiers & Shops, Food",,"{'type': 'Point', 'coordinates': [-79.3800815, 43.6540667]}"
HFPovXxiMQ451N80-E-vyQ,Emporium Latino,243 Augusta Ave,M5T 2L8,43.6548489,-79.4019624,61,1,"{'BikeParking': 'True', 'GoodForKids': 'True', 'RestaurantsPriceRange2': '1', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsTakeOut': 'True', 'RestaurantsGoodForGroups': 'False', 'NoiseLevel': ""u'quiet'"", 'RestaurantsReservations': 'False', 'OutdoorSeating': 'True', 'RestaurantsAttire': ""u'casual'"", 'Alcohol': ""u'none'"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", 'Caters': 'False', 'RestaurantsDelivery': 'False', 'HasTV': 'False', 'WiFi': ""u'no'""}","Restaurants, Imported Food, Specialty Food, Food, Fruits & Veggies, Latin American, Ethnic Food","{'Monday': '9:0-19:0', 'Tuesday': '9:0-19:0', 'Wednesday': '9:0-19:0', 'Thursday': '9:0-19:0', 'Friday': '9:0-19:0', 'Saturday': '8:0-19:0', 'Sunday': '10:0-17:0'}","{'type': 'Point', 'coordinates': [-79.4019624, 43.6548489]}"
opy1am7eajjAO2-eyojoIw,McDonald's,29-31 Woodward Avenue,M4L 2Y5,43.6650429,-79.3190921,16,1,"{'Caters': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsAttire': ""u'casual'"", 'NoiseLevel': ""'average'"", 'RestaurantsReservations': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsDelivery': 'False', 'RestaurantsPriceRange2': '1', 'GoodForKids': 'True', 'WiFi': ""u'free'"", 'Alcohol': ""u'none'"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'OutdoorSeating': 'True', 'HasTV': 'True'}","Restaurants, Fast Food, Burgers","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}","{'type': 'Point', 'coordinates': [-79.3190921, 43.6650429]}"
ZqHzlfa34IhEPgWqvWGW8w,Tessie McDaid's Irish Pub,5078 Dundas Street W,M9A,43.645532,-79.532129,7,1,"{'Alcohol': ""u'full_bar'"", 'BikeParking': 'True', 'RestaurantsPriceRange2': '2', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'NoiseLevel': ""u'average'"", 'OutdoorSeating': 'True', 'RestaurantsGoodForGroups': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'HasTV': 'True'}","Nightlife, Pubs, Bars, Local Flavor","{'Monday': '11:0-2:30', 'Tuesday': '11:0-2:30', 'Wednesday': '11:0-2:30', 'Thursday': '11:0-2:30', 'Friday': '11:0-2:30', 'Saturday': '11:0-2:30', 'Sunday': '11:0-2:30'}","{'type': 'Point', 'coordinates': [-79.532129, 43.645532]}"
VmZ6sLWZhdo-EAvz8D5orw,Marron Bistro Moderne,948 Eglinton Avenue W,M6C 2C2,43.7004787,-79.4286329,5,0,"{'RestaurantsPriceRange2': '3', 'RestaurantsAttire': ""u'formal'"", 'GoodForKids': 'False', 'Alcohol': ""u'full_bar'"", 'RestaurantsGoodForGroups': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': True, 'upscale': False, 'touristy': False, 'trendy': False, 'hipster': False, 'casual': False}"", 'OutdoorSeating': 'True', 'HasTV': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'NoiseLevel': ""u'average'"", 'RestaurantsReservations': 'True'}","Kosher, Restaurants","{'Monday': '18:0-22:0', 'Tuesday': '18:0-22:0', 'Wednesday': '18:0-22:0', 'Thursday': '18:0-22:0', 'Sunday': '18:0-22:0'}","{'type': 'Point', 'coordinates': [-79.4286329, 43.7004787]}"
esr30Kcmr7Z5PtTnWLAm-Q,"Bowen Chan, MD","473 Dupont St, Ground Fl",M5R,43.6728208,-79.4150052,3,1,,"Doctors, Health & Medical, Family Practice",,"{'type': 'Point', 'coordinates': [-79.4150052, 43.6728208]}"
XiKJK57eWPDhdhAG1pTTqA,Hero Video Games & Collectables,870 Dundas Street W,M6J 1V6,43.6513151,-79.4109604,3,0,{'RestaurantsPriceRange2': '1'},"Shopping, Toy Stores, Videos & Video Game Rental, Video Game Stores, Books, Mags, Music & Video","{'Monday': '12:0-19:0', 'Tuesday': '12:0-19:0', 'Wednesday': '12:0-19:0', 'Thursday': '12:0-19:0', 'Friday': '12:0-19:0', 'Saturday': '12:0-19:0'}","{'type': 'Point', 'coordinates': [-79.4109604, 43.6513151]}"
DPLkYvNHNBEs0teU95Ocfw,Miss Cora's Kitchen,69 Kensington Avenue,M5T 2K2,43.6544252,-79.4005439,30,0,"{'Caters': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'False', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsGoodForGroups': 'False', 'GoodForKids': 'True', 'OutdoorSeating': 'False', 'HasTV': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'upscale': False, 'touristy': False, 'trendy': False, 'casual': False}"", 'RestaurantsPriceRange2': '1', 'Alcohol': ""u'none'"", 'NoiseLevel': ""u'average'"", 'RestaurantsReservations': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Bakeries, Restaurants, Sandwiches, Event Planning & Services, Food, Desserts, Caterers","{'Monday': '12:0-18:0', 'Tuesday': '12:0-18:0', 'Wednesday': '12:0-18:0', 'Thursday': '12:0-18:0', 'Friday': '12:0-18:0', 'Saturday': '12:0-18:0', 'Sunday': '12:0-18:0'}","{'type': 'Point', 'coordinates': [-79.4005439, 43.6544252]}"
C5FIW7EHoK7c6Umr_QvSew,Kleinfeld Hudson's Bay,176 Yonge Street,M5C 2L7,43.6521713,-79.379441,43,1,"{'BusinessParking': ""{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True', 'ByAppointmentOnly': 'True', 'RestaurantsPriceRange2': '3'}","Bridal, Shopping",,"{'type': 'Point', 'coordinates': [-79.379441, 43.6521713]}"
uyAi44fQc9AOxLR4AQe9Qg,Ambiance Chocolat,753-A Queen St E,M4M 1H3,43.6591815,-79.3480302,14,0,"{'WiFi': ""u'no'"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True', 'OutdoorSeating': 'False', 'RestaurantsPriceRange2': '2'}","Chocolatiers & Shops, Food, Specialty Food, Coffee & Tea","{'Monday': '10:0-19:0', 'Tuesday': '10:0-19:0', 'Wednesday': '10:0-19:0', 'Thursday': '10:0-19:0', 'Friday': '10:0-19:0', 'Saturday': '11:0-18:0', 'Sunday': '12:0-17:0'}","{'type': 'Point', 'coordinates': [-79.3480302, 43.6591815]}"
HzZWnYs_qINLuXCjXyLPhw,Dufferin Grove Organic Farmers' Market,875 Dufferin St,M6H 4B1,43.6569852,-79.4336351,12,1,"{'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsTakeOut': 'True'}","Food, Farmers Market",{'Thursday': '15:0-19:0'},"{'type': 'Point', 'coordinates': [-79.4336351, 43.6569852]}"
ZLPPaAJnEvN8311zwXvw6w,Touch Down Foods,"10 Melford Drive, Unit 17",M1B 2G1,43.8075868,-79.2345232,6,1,"{'Caters': 'True', 'NoiseLevel': ""u'quiet'"", 'RestaurantsTakeOut': 'True', 'BikeParking': 'False', 'RestaurantsAttire': ""u'casual'"", 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'Alcohol': ""u'none'"", 'WiFi': ""u'no'"", 'RestaurantsTableService': 'False', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'HasTV': 'False', 'RestaurantsReservations': 'False'}","Grocery, Imported Food, Food, Sri Lankan, Specialty Food, Ethnic Food, Desserts, Restaurants",,"{'type': 'Point', 'coordinates': [-79.2345232, 43.8075868]}"
